ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
1,1178000000,1196000000,646000000,6298000000.0,64000000.0,82000000.0,34000000.0,40000000.0,3028.0,99499593.0,3349460.0,37797.0,2173193.0,268000000,1.0,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.5397127019664241,-0.5849693839328396,-0.5559732600790972,-0.5358036117445187,-0.49865794347947334,-0.507834771344368,-0.437904169270929,-0.4836427990321845,0.39526325758468006,-0.48490900314828467,-0.4552687201230441,-0.8664567918082124,0.8198899759965929,-0.49349593770160677,-0.5325562306435935
1,2064000000,2236000000,1224000000,11432000000.0,104000000.0,142000000.0,64000000.0,78000000.0,2585.0,202560745.0,7721012.0,37804.0,2173201.0,714000000,1.5,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.43653111809680967,-0.4447567163190201,-0.41946594349216865,-0.4172727572012053,-0.4490897371013084,-0.43033371627921846,-0.39180691990775596,-0.40709234695973906,0.06788422472616792,-0.2741464073376831,-0.4354071845244397,-0.8660160420895693,0.8201261650655051,-0.4082053850763162,-0.45385802843712514
1,358000000,810500000,372437500,2650562500.0,5187500.0,4000000.0,1187500.0,0.0,1118.46875,76874693.81,46372219.47,69909.84375,2106280.188,33500000,1.750750751,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.6352080730421393,-0.6369424448608467,-0.6205810157777333,-0.6200135618357393,-0.571538696919869,-0.6085861429290624,-0.48832303576189956,-0.5642222222663376,-1.0158890987090123,-0.5311774795887341,-0.2598008247935139,1.1555041864268139,-1.1556193695757855,-0.5383404098779087,-0.4143907618258816
1,2466000000,2954000000,1630000000,14710000000.0,246000000.0,242000000.0,110000000.0,116000000.0,3060.0,152771732.0,2831102.0,37804.0,2173200.0,2554000000,2.400960384,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.3897150947157883,-0.3479560477164023,-0.3235801813221116,-0.3415921687335424,-0.27312260445882275,-0.3011652911706359,-0.3211244708842239,-0.33054189488729363,0.41891140442773284,-0.375966165986682,-0.45762380725681745,-0.8660160420895693,0.8200966414318911,-0.05633404689126093,-0.3120501034770265
1,349937500,567125000,256812500,1943062500.0,7750000.0,6000000.0,3750000.0,2000000.0,1112.71875,23302186.06,54848194.16,69909.84375,2106280.188,67250000,3.601440576,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.6361470138095758,-0.6697542313805711,-0.6478883833908191,-0.6363479170342968,-0.5683632336987678,-0.6060027744268908,-0.4843855623787952,-0.5601932511046299,-1.0201383750948734,-0.6407345782467577,-0.22129141828564106,1.1555041864268139,-1.1556193695757855,-0.5318862481041339,-0.12309883768727473
1,3100000000,2878000000,1562000000,16042000000.0,304000000.0,226000000.0,148000000.0,124000000.0,2036.0,216107024.0,3715511.0,37804.0,2173819.0,802000000,10.333,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.3158808687865157,-0.3582023580420276,-0.3396398656264561,-0.31083971484735357,-0.20124870521048357,-0.3218322391880091,-0.26273462169087136,-0.314426010240463,-0.3378292945499566,-0.2464439329308897,-0.4536056185592505,-0.8660160420895693,0.8383717706389748,-0.3913767558587701,0.9364244117423439
1,4636000000,4402000000,2386000000,24250000000.0,320000000.0,398000000.0,170000000.0,194000000.0,1731.0,317196248.0,5572217.0,37804.0,2173201.0,2760000000,0.181669394,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.1370017346739563,-0.15273687203869973,-0.14503427935028115,-0.12133810711624403,-0.18142142265921757,-0.09966254800124705,-0.2289299721578778,-0.1734120195806951,-0.5632256941478035,-0.03971397847899915,-0.4451699343182436,-0.8660160420895693,0.8201261650655051,-0.016939755768368876,-0.661358525649053
1,752750000,1186437500,535687500,4073062500.0,11500000.0,11812500.0,4000000.0,3375000.0,1084.90625,67392550.97,116467298.6,69877.84375,2106279.188,162000000,0.249812453,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,-0.5892363684907508,-0.5862585989655869,-0.5820259648559061,-0.5871716957298057,-0.5637162143508149,-0.5984948597174544,-0.48400141863410207,-0.557423333430956,-1.0406919402221362,-0.5505686953865675,0.0586663716226525,1.1534893305701595,-1.1556488932093996,-0.5137667865318328,-0.6506330531767544
1,6590000000,6574000000,3392000000,35102000000.0,488000000.0,484000000.0,268000000.0,282000000.0,2075.0,470206041.0,9402284.0,37804.0,2173199.0,2346000000,0.583,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,0.09055674713329699,0.14009189147785417,0.09255457962281594,0.1292066598303935,0.026765044129075276,0.011422297592133975,-0.07834562423817913,0.0038627115344416797,-0.30900811558498603,0.2731948191746776,-0.4277685601459726,-0.8660160420895693,0.820067117798277,-0.09611080686000631,-0.598190531283788
1,8916000000,8066000000,4378000000,45796000000.0,512000000.0,674000000.0,342000000.0,388000000.0,3441.0,554798441.0,6150266.0,37804.0,2173201.0,3414000000,4.313578395,0.043692306,0.033345293,0.12687166,-0.32071295,-0.056289878,-0.30187026,-0.23153456,-0.16152894,-0.15519217,0.16283798,0.027082026,0.08358014,0.2017378,0.07140856,0.117126256,0.0,0.36143751923343576,0.34124314155460295,0.3254200020358117,0.3761036131779185,0.056505967955974255,0.2568423052984409,0.035360924190981094,0.21739818310494735,0.7004721527778303,0.446188361977777,-0.4425436494676373,-0.8660160420895693,0.8201261650655051,0.10812755682566708,-0.011010905530204002
