ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
1,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000,20000000,0,0,2430175.0,2282039382.0,1680659639.0,37771,2200601,186000000.0,13.51351351,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.39819529107317836,-0.3886339246757095,-0.3885437761184105,-0.3904916092986518,-0.38723531097341024,-0.4118985652043932,-0.37467827184134145,-0.36867104706193005,-0.3498733087193007,-0.38797212659188945,-0.4005217636555034,0.08111071060669232,-0.0968579543972445,-0.39295253685570863,-0.021659063157942422
1,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000,20000000,2000000,0,2431784.0,2282041862.0,1681138751.0,37771,2200600,186000000.0,11.26126126,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.39816864477033465,-0.3886339246757095,-0.38853610069365707,-0.39048967750744495,-0.38776654240996494,-0.4118985652043932,-0.3727455731598498,-0.36867104706193005,-0.3498666926166361,-0.38797212341100157,-0.4005204382135377,0.08111071060669232,-0.09688977458715038,-0.39295253685570863,-0.10395461821356422
1,8200000000.0,19434000000.0,6256000000.0,59954000000.0,202000000,160000000,6000000,4000000,3259234.0,11407387387.0,8376314544.0,37771,2205834,912000000.0,4.273322422,-0.22508815,0.01742152,0.015436366,-0.2824496,0.08119165,0.10446547,0.1705446,-0.049234927,0.009183653,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3688044190365628,-0.3695379237485358,-0.3703376686032872,-0.3702271195388683,-0.3737774479140234,-0.3933388774050459,-0.3688801757968664,-0.36477985844434757,-0.3464642723867832,-0.3762678084290672,-0.38199853318157967,0.08111071060669232,0.06965709938024985,-0.38114512041721216,-0.35928849805226654
1,8204000000.0,19430000000.0,6256000000.0,59958000000.0,202000000,164000000,6000000,4000000,3259806.0,11407505373.0,8373560008.0,37771,2205834,916000000.0,4.182214948,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3687777727337191,-0.3695433066945336,-0.3703376686032872,-0.37022518774766144,-0.3737774479140234,-0.3928086006107789,-0.3688801757968664,-0.36477985844434757,-0.34646192036023,-0.37626765709832544,-0.38200615348249134,0.08111071060669232,0.06965709938024985,-0.38108006578118736,-0.36261749467888577
1,9346000000.0,22146000000.0,7130000000.0,68328000000.0,176000000,186000000,8000000,6000000,3713148.0,13003334800.0,9548958313.0,37771,2210655,1052000000.0,3.35747964,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.361170253271839,-0.3658882863620316,-0.3669835079860406,-0.3661829146473424,-0.37607945080576066,-0.38989207824231004,-0.3669474771153747,-0.36283426413555636,-0.34459780773488463,-0.3742208206010249,-0.3787544665286258,0.08111071060669232,0.22306223491651972,-0.37886820815634503,-0.39275268488496917
1,9346000000.0,22142000000.0,7130000000.0,68326000000.0,232000000,186000000,8000000,6000000,3713446.0,13005317291.0,9545360358.0,37771,2210655,1064000000.0,3.61634349,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.361170253271839,-0.36589366930802936,-0.3669835079860406,-0.36618388054294576,-0.3711212907312497,-0.38989207824231004,-0.3669474771153747,-0.36283426413555636,-0.34459658237839363,-0.37421827782617334,-0.37876442011056,0.08111071060669232,0.22306223491651972,-0.37867304424827075,-0.3832940000420146
1,10432000000.0,24720000000.0,7958000000.0,76272000000.0,208000000,204000000,10000000,6000000,4145484.0,14515349497.0,10651864773.0,37771,2215167,1178000000.0,3.429061294,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3539357820497709,-0.3624243606124512,-0.3638058821381228,-0.3623463773105521,-0.3732462164774687,-0.38750583266810823,-0.36501477843388297,-0.36283426413555636,-0.34282007040635276,-0.37228148622486146,-0.3757033250287101,0.08111071060669232,0.36663493177187123,-0.37681898712156464,-0.3901371466175617
1,10434000000.0,24722000000.0,7956000000.0,76272000000.0,194000000,208000000,8000000,6000000,4145256.0,14515482284.0,10663130064.0,37771,2215168,1158000000.0,3.429061294,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.35392245889834906,-0.36242166913945234,-0.36381355756287626,-0.3623463773105521,-0.3744857564960964,-0.38697555587384114,-0.3669474771153747,-0.36283426413555636,-0.3428210079274264,-0.3722813159101189,-0.37567216010391796,0.08111071060669232,0.3666667519617771,-0.3771442603016885,-0.3901371466175617
1,12200000000.0,28910000000.0,9304000000.0,89206000000.0,228000000,238000000,12000000,8000000,4848386.0,16975164540.0,12467356577.0,37771,2222505,1360000000.0,3.125656414,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.34215811619284975,-0.35678572467976216,-0.35864032127906803,-0.3560999304432251,-0.3714754450222862,-0.38299847991683816,-0.36308207975239126,-0.36088866982676515,-0.33992978339879454,-0.36912648787639374,-0.3706808479766298,0.08111071060669232,0.6001314853012527,-0.3738590011824375,-0.40122332624339374
1,12208000000.0,28916000000.0,9308000000.0,89202000000.0,224000000,244000000,10000000,8000000,4849573.0,16976720607.0,12466432240.0,37771,2222504,1358000000.0,3.063015754,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3421048235871623,-0.35677765026076547,-0.3586249704295612,-0.3561018622344319,-0.3718295993133227,-0.3822030647254376,-0.36501477843388297,-0.36088866982676515,-0.3399249025325031,-0.369124492039825,-0.370683405113688,0.08111071060669232,0.6000996651113468,-0.3738915285004498,-0.4035121675060678
1,13414000000.0,31788000000.0,10234000000.0,98084000000.0,260000000,268000000,12000000,8000000,5327972.0,18669205808.0,13707819626.0,37771,2227626,1476000000.0,2.941404871,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3340709632797828,-0.35291269503434947,-0.3550712487687256,-0.35181231985963696,-0.3686422106939942,-0.3790214039598352,-0.36308207975239126,-0.36088866982676515,-0.3379577571635486,-0.36695368329176214,-0.3672491623122664,0.08111071060669232,0.763082677809288,-0.371972416737719,-0.4079557351025878
1,13414000000.0,31786000000.0,10232000000.0,98078000000.0,274000000,268000000,12000000,8000000,5328433.0,18667069458.0,13705153244.0,37771,2227626,1534000000.0,2.941404871,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3340709632797828,-0.3529153865073484,-0.355078924193479,-0.35181521754644723,-0.3674026706753665,-0.3790214039598352,-0.36308207975239126,-0.36088866982676515,-0.3379558615617286,-0.36695642340864243,-0.3672565387390713,0.08111071060669232,0.763082677809288,-0.3710291245153598,-0.4079557351025878
1,14330000000.0,33958000000.0,10930000000.0,105000000000.0,274000000,280000000,12000000,8000000,5693421.0,19940213461.0,14646269092.0,37771,2231350,1578000000.0,2.684775742,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3279689599285725,-0.3499924468305463,-0.3524002009545338,-0.3484722528630053,-0.3674026706753665,-0.377430573577034,-0.36308207975239126,-0.36088866982676515,-0.3364550548001677,-0.36532346842763386,-0.36465298374669136,0.08111071060669232,0.8815810650188024,-0.37031352351908725,-0.41733276496880095
1,14334000000.0,33956000000.0,10930000000.0,105000000000.0,290000000,282000000,10000000,8000000,5693653.0,19940866966.0,14700631894.0,37771,2231350,1586000000.0,2.833333333,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.3279423136257288,-0.3499951383035452,-0.3524002009545338,-0.3484722528630053,-0.36598605351122054,-0.3771654351799005,-0.36501477843388297,-0.36088866982676515,-0.3364541008313559,-0.3653226302316071,-0.36450259148111885,0.08111071060669232,0.8815810650188024,-0.3701834142470377,-0.4119045855057452
1,43954000000.0,146000000000.0,48920000000.0,431000000000.0,1448000000,1734000000,102000000,74000000,6987658.0,95304034184.0,69996416403.0,37771,2240844,7392000000.0,0.716208546,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.13062644106803348,-0.19921343795934138,-0.20660550776323233,-0.19103126950529728,-0.2634583862561553,-0.18467495886095603,-0.2761106390852649,-0.2966840576366546,-0.3311332369851648,-0.26866061949030307,-0.21152927143564274,0.08111071060669232,1.1836819479852712,-0.27575661005707836,-0.4892626875869753
1,43964000000.0,146000000000.0,48924000000.0,431000000000.0,1494000000,1732000000,80000000,72000000,6993352.0,95305056532.0,69973653799.0,37771,2240843,7534000000.0,0.736083333,-0.22508815,0.01742152,0.015436366,-0.2824496,0.08119165,0.10446547,0.1705446,-0.049234927,0.009183653,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.1305598253109242,-0.19921343795934138,-0.20659015691372548,-0.19103126950529728,-0.2593856119092356,-0.18494009725808955,-0.29737032458167356,-0.29862965194544583,-0.3311098236299303,-0.2686593082103104,-0.2115922431637352,0.08111071060669232,1.1836501277953653,-0.27344717047819883,-0.488536478243516
1,49292000000.0,164000000000.0,54858000000.0,484000000000.0,1666000000,1944000000,80000000,88000000,7837567.0,107000000000.0,78551812364.0,37771,2249202,9088000000.0,0.783127304,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.09506694992309837,-0.17499018096926902,-0.18381717167031453,-0.16543503601462695,-0.24415697739466632,-0.15683542716193513,-0.29737032458167356,-0.283064897475116,-0.32763846681762104,-0.2536591855661448,-0.18786115032878306,0.08111071060669232,1.4496350952186552,-0.24817344438257416,-0.48681752793257027
1,49312000000.0,164000000000.0,54870000000.0,484000000000.0,1664000000,1944000000,78000000,72000000,7837189.0,107000000000.0,78542752735.0,37771,2249202,8332000000.0,0.678962963,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.0949337184088798,-0.17499018096926902,-0.18377111912179397,-0.16543503601462695,-0.2443340545401846,-0.15683542716193513,-0.29930302326316527,-0.29862965194544583,-0.32764002112887475,-0.2536591855661448,-0.18788621338808886,0.08111071060669232,1.4496350952186552,-0.26046877059125645,-0.4906236123796379
1,55010000000.0,183000000000.0,61218000000.0,539000000000.0,1722000000,2170000000,90000000,82000000,8728818.0,119000000000.0,87395861298.0,37771,2258117,9440000000.0,0.6222,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.05697606000801053,-0.14942118747974817,-0.1594093209544241,-0.1388729069205351,-0.2391988173201554,-0.12687478828584597,-0.2877068311742151,-0.28890168040148967,-0.32397370105258794,-0.23826779250618593,-0.16339448365442863,0.08111071060669232,1.7333120882296167,-0.24244863641239406,-0.49269768714044093
1,54990000000.0,183000000000.0,61214000000.0,539000000000.0,1754000000,2168000000,128000000,96000000,8727180.0,119000000000.0,87556119460.0,37771,2258118,9302000000.0,0.733333333,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.0571092915222291,-0.14942118747974817,-0.15942467180393094,-0.1388729069205351,-0.23636558299186344,-0.12713992668297952,-0.2509855562258728,-0.2752825202399511,-0.323980436401354,-0.23826779250618593,-0.16295113660142616,0.08111071060669232,1.7333439084195226,-0.24469302135524876,-0.4886369611163394
1,72274000000.0,241000000000.0,80442000000.0,709000000000.0,2392000000,2850000000,116000000,102000000,11482814.0,157000000000.0,115000000000.0,37771,2285302,12154000000.0,0.483067223,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,0.058029383065455103,-0.07136847051173721,-0.08563313822450626,-0.05677178062970575,-0.17987797357154253,-0.03672773326044499,-0.262581748314823,-0.2694457373135774,-0.31264944979470644,-0.18952838114964937,-0.08702886588200207,0.08111071060669232,2.5983439508210906,-0.19830906586958494,-0.4977814911902071
1,72260000000.0,241000000000.0,80436000000.0,709000000000.0,2384000000,2848000000,132000000,130000000,11483660.0,157000000000.0,115000000000.0,37771,2285304,12330000000.0,0.4833,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,0.057936121005502106,-0.07136847051173721,-0.08565616449876653,-0.05677178062970575,-0.18058628215361552,-0.03699287165757852,-0.24712015886288943,-0.2422074169905002,-0.312645971098091,-0.18952838114964937,-0.08702886588200207,0.08111071060669232,2.5984075912009024,-0.1954466618844949,-0.4977729856986845
1,83436000000.0,278000000000.0,92846000000.0,818000000000.0,2710000000,3292000000,182000000,146000000,13257360.0,181000000000.0,133000000000.0,37771,2302598,14140000000.0,0.424458258,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,0.13238589115083643,-0.021576220032144003,-0.03803015390376651,-0.004130470243232809,-0.1517227074341412,0.021867852506065644,-0.19880269182559698,-0.22664266252017037,-0.3053526328157898,-0.15874559502973157,-0.03723266920501297,0.08111071060669232,3.1487059554332717,-0.16600943908328467,-0.49992301743617296
1,83376000000.0,278000000000.0,92822000000.0,818000000000.0,2714000000,3290000000,128000000,116000000,13252974.0,181000000000.0,133000000000.0,37771,2302599,14426000000.0,0.422547114,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,0.13198619660818076,-0.021576220032144003,-0.0381222590008076,-0.004130470243232809,-0.1513685531431047,0.021602714108932112,-0.2509855562258728,-0.25582657715203877,-0.3053706677606543,-0.15874559502973157,-0.03723266920501297,0.08111071060669232,3.1487377756231774,-0.16135803260751333,-0.49999284915962716
1,93430000000.0,311000000000.0,104000000000.0,917000000000.0,3024000000,3688000000,134000000,138000000,14852424.0,203000000000.0,149000000000.0,37771,2318277,15916000000.0,0.387101769,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,0.19896167880585355,0.022833084449655344,0.004775689946082826,0.04368136212613252,-0.12392159558777635,0.07436525513850505,-0.24518746018139773,-0.23442503975533527,-0.29879383407083826,-0.13052804108647356,0.007030616730088442,0.08111071060669232,3.647614712967637,-0.13712518068828503,-0.5012879946482878
1,93462000000.0,311000000000.0,104000000000.0,917000000000.0,3026000000,3686000000,140000000,134000000,14852316.0,203000000000.0,149000000000.0,37771,2318278,16520000000.0,0.398666667,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,0.19917484922860326,0.022833084449655344,0.004775689946082826,0.04368136212613252,-0.1237445184422581,0.07410011674137151,-0.23938936413692263,-0.23831622837291774,-0.2987942781597679,-0.13052804108647356,0.007030616730088442,0.08111071060669232,3.647646533157543,-0.12730193064854417,-0.5008654222210333
1,18722000000.0,77512000000.0,27208000000.0,221000000000.0,688000000,712000000,50000000,30000000,30887939.0,77792290434.0,37168079192.0,37771,2189549,5748000000.0,1.386335743,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.29871131940617557,-0.2913802393335678,-0.28992991888641045,-0.29245030786455706,-0.3307477015530893,-0.320160679796191,-0.32636080480404905,-0.3394871324300616,-0.23285684617778124,-0.2911214637587638,-0.30234740123216913,0.08111071060669232,-0.4485346932370816,-0.3024940654632604,-0.4647767581645569
1,18722000000.0,77512000000.0,27208000000.0,221000000000.0,712000000,712000000,40000000,24000000,30885180.0,77796755598.0,37167429328.0,37771,2189547,5680000000.0,1.333333333,-0.22508815,0.01742152,0.015436389,-0.2824495,0.08119165,0.1044655,0.17054461,-0.049234916,0.009183638,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.29871131940617557,-0.2913802393335678,-0.28992991888641045,-0.29245030786455706,-0.3286227758068703,-0.320160679796191,-0.33602429821150753,-0.3453239153564353,-0.2328681910051595,-0.2911157366675804,-0.3023491990519223,0.08111071060669232,-0.4485983336168934,-0.3035999942756816,-0.4667134252275982
1,23430000000.0,96882000000.0,34004000000.0,276000000000.0,842000000,894000000,44000000,28000000,37530644.0,97270317507.0,46548092112.0,37771,2193877,7080000000.0,1.148111111,-0.22508815,0.01742152,0.015436366,-0.2824496,0.08119165,0.10446547,0.1705446,-0.049234927,0.009183653,0.031648837,0.13466597,0.071149275,0.17145793,-0.571313,0.24924335,0.0,-0.26734862095912526,-0.26531332333925106,-0.26384882557427347,-0.2658881787704652,-0.3171127613481843,-0.29603308565703956,-0.3321589008485241,-0.34143272673885283,-0.2055424780915583,-0.2661386328660085,-0.27639801411011256,0.08111071060669232,-0.31081691132441286,-0.2808308716670107,-0.4734813019466138
