emb_col1_1,emb_col1_2,emb_col1_3,emb_col1_4,emb_col1_5,emb_col1_6,emb_col1_7,emb_col1_8,emb_col1_9,emb_col1_10,emb_col2_1,emb_col2_2,emb_col2_3,emb_col2_4,emb_col2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,435555555.6,1235527778.0,192194444.4,2783416667.0,42416666.67,6916666.667,11527777.78,2027777.778,2.958333333,138755578.6,38105685.5,550.1388889,30160.16667,250500000.0,0.600240096
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,568111111.1,1896916667.0,311472222.2,4213527778.0,82638888.89,16750000.0,17138888.89,4027777.778,3.972222222,236867340.9,67471186.18,548.4166667,30160.22222,451000000.0,0.666
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,443194444.4,1263472222.0,202277777.8,2859166667.0,44000000.0,7027777.778,12194444.44,2027777.778,0.638888889,183353260.3,80617505.57,551.8333333,30161.30556,268861111.1,0.666
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,492194444.4,1073388889.0,151277777.8,2471888889.0,45805555.56,6111111.111,12277777.78,2027777.778,2.472222222,85518248.64,90554484.71,551.8611111,30161.30556,360138888.9,1.0
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,46195611111.0,102000000000.0,13663111111.0,231000000000.0,4973333333.0,758944444.4,2230472222.0,272361111.1,2.902777778,3921400493.0,4651602624.0,575.9722222,30158.45833,56353027778.0,0.684210526
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,392000000000.0,1140000000000.0,167000000000.0,2480000000000.0,80134472222.0,11311750000.0,43777694444.0,4207916667.0,1.111111111,68821010797.0,72602858005.0,575.9166667,30161.08333,883000000000.0,0.608162146
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,50719250000.0,108000000000.0,14418416667.0,247000000000.0,4954416667.0,747250000.0,2238777778.0,271777777.8,500.6805556,4095509691.0,4707151019.0,10093.69444,31333.38889,56674361111.0,0.72689457
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,390000000000.0,1130000000000.0,168000000000.0,2480000000000.0,80271305556.0,11303916667.0,43921194444.0,4201250000.0,2186.597222,69191714604.0,72714736778.0,10097.54167,35295.375,860000000000.0,0.59875907
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,972083333.3,1789750000.0,223166666.7,4204000000.0,58722222.22,8388888.889,17888888.89,2194444.444,1.0,70842519.5,64158708.14,533.0555556,30160.66667,535861111.1,0.833
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,16184972222.0,42137805556.0,6332611111.0,95481444444.0,1551888889.0,287805555.6,868388888.9,84972222.22,4.111111111,4194503850.0,955663130.6,532.9166667,30161.20833,8372805556.0,0.5
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,6450944444.0,24375888889.0,4112583333.0,52157861111.0,2346500000.0,425527777.8,570888888.9,104611111.1,4.222222222,1378701854.0,1919241666.0,547.2222222,30159.81944,15286694444.0,0.656725775
0.0,0.8295031,0.5266053,0.28740656,0.0,0.1304761,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,16310194444.0,38519722222.0,6327666667.0,87694111111.0,1539972222.0,812305555.6,275000000.0,45916666.67,4.180555556,2164421542.0,855344292.5,545.7777778,30161.875,5508472222.0,0.694904912
0.0,0.8295031,0.5266053,0.2874066,0.0,0.13047613,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,12698444444.0,58417111111.0,10598888889.0,123000000000.0,5530472222.0,1161000000.0,1558083333.0,271833333.3,3.305555556,3427822140.0,4925206347.0,545.7777778,30160.38889,42989000000.0,0.658073007
0.0,0.8295031,0.5266053,0.2874066,0.0,0.13047613,1.2917054,0.0,0.0,0.0,0.0,0.0,0.8221963,0.0,0.89239293,1,11347666667.0,83199166667.0,16324833333.0,175000000000.0,5148638889.0,1587694444.0,1484166667.0,267916666.7,5.236111111,13518900870.0,3980255700.0,545.75,30160.38889,26563888889.0,0.569538266
