emb_col1_1,emb_col1_2,emb_col1_3,emb_col1_4,emb_col1_5,emb_col1_6,emb_col1_7,emb_col1_8,emb_col1_9,emb_col1_10,emb_col2_1,emb_col2_2,emb_col2_3,emb_col2_4,emb_col2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000,12000000,0,0,1556948.0,1461157318.0,1076277724.0,37771,2190229,116000000.0,3.0
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000,12000000,0,0,1556449.0,1460442876.0,1077872352.0,37771,2190229,116000000.0,2.666
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,2792000000.0,3862000000.0,1114000000.0,13250000000.0,26000000,16000000,0,0,1789740.0,1680159170.0,1238203078.0,37771,2193037,140000000.0,2.252252252
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,2792000000.0,3862000000.0,1108000000.0,13250000000.0,38000000,14000000,0,0,1790082.0,1681196754.0,1238368945.0,37771,2193037,136000000.0,2.252252252
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3154000000.0,4360000000.0,1258000000.0,14964000000.0,30000000,16000000,0,0,2021762.0,1896564610.0,1396403653.0,37771,2195719,150000000.0,2.501501502
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3152000000.0,4358000000.0,1258000000.0,14960000000.0,30000000,18000000,0,0,2022435.0,1897379725.0,1397572057.0,37771,2195719,142000000.0,2.501501502
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3434000000.0,4746000000.0,1368000000.0,16294000000.0,36000000,18000000,0,0,2202499.0,2065152466.0,1520600593.0,37771,2197853,170000000.0,2.752252252
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3434000000.0,4746000000.0,1368000000.0,16292000000.0,32000000,20000000,0,0,2202362.0,2065421903.0,1520505953.0,37771,2197855,172000000.0,3.003003003
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3640000000.0,5040000000.0,1452000000.0,17290000000.0,42000000,18000000,2000000,0,2337750.0,2193317921.0,1615712489.0,37771,2199440,180000000.0,3.252252252
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3644000000.0,5036000000.0,1450000000.0,17290000000.0,34000000,18000000,0,0,2338564.0,2191995118.0,1614181110.0,37771,2199439,178000000.0,2.600240096
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000,20000000,0,0,2430175.0,2282039382.0,1680659639.0,37771,2200601,186000000.0,3.252252252
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000,20000000,2000000,0,2431784.0,2282041862.0,1681138751.0,37771,2200600,186000000.0,3.252252252
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,8200000000.0,19434000000.0,6256000000.0,59954000000.0,202000000,160000000,6000000,4000000,3259234.0,11407387387.0,8376314544.0,37771,2205834,912000000.0,4.818876159
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,8204000000.0,19430000000.0,6256000000.0,59958000000.0,202000000,164000000,6000000,4000000,3259806.0,11407505373.0,8373560008.0,37771,2205834,916000000.0,4.818876159
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,9346000000.0,22146000000.0,7130000000.0,68328000000.0,176000000,186000000,8000000,6000000,3713148.0,13003334800.0,9548958313.0,37771,2210655,1052000000.0,4.214744964
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,9346000000.0,22142000000.0,7130000000.0,68326000000.0,232000000,186000000,8000000,6000000,3713446.0,13005317291.0,9545360358.0,37771,2210655,1064000000.0,4.539704524
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,10432000000.0,24720000000.0,7958000000.0,76272000000.0,208000000,204000000,10000000,6000000,4145484.0,14515349497.0,10651864773.0,37771,2215167,1178000000.0,4.786112302
0.0,0.8130445,0.0,0.64450234,0.5166025,0.32323772,0.6530661,0.0,0.0,0.6376402,0.43633375,1.071023,0.8597017,0.0,0.0,1,10434000000.0,24722000000.0,7956000000.0,76272000000.0,194000000,208000000,8000000,6000000,4145256.0,14515482284.0,10663130064.0,37771,2215168,1158000000.0,4.71495928
