ARD,0.08565916787136817,0.0544297299012219
AdaBoost,0.0028799505832933525,0.0006713856863068216
ExtraTree,0.005995947383669192,0.0012404782838208335
Bagging,0.003815476199209676,0.008668021932576021
SVR,0.0012344371397070234,0.0013229105319402896
Ridge,0.08252883258092684,0.05176923075238657
Lasso,0.06608868065691,0.042825257525766214
ElasticNet,0.06936802941843463,0.046832082842360255
linear_regression,6.432064313816857e+23,2.4861658325027856e+17
KNNregressor,0.0076696289886500155,0.00367418661552517
DecisionTree,0.008456945757774514,0.002178588889787406
random_forrest,0.0055412751582461315,0.0028863038096325843
XGBoost,0.003212939271674205,0.002039283746779814
nn,0.14032490034660805,0.05542626780283737
