ARD,107.39781514966622,299.5155243731891
AdaBoost,16.05745285957427,20.054073964658272
ExtraTree,30.508489901058816,43.73085184855668
Bagging,19.6232720694906,39.43370875321673
SVR,11.844731757365071,66.58457574308575
Ridge,105.19258699078196,291.48505852247854
Lasso,92.26041328515419,265.88095317913377
ElasticNet,94.76983926920616,285.62427872484426
linear_regression,259888257352966.53,639996737707.0923
KNNregressor,35.384996047485416,100.43670109895899
DecisionTree,12.082435342993989,11.087791129149014
random_forrest,28.189055504463354,46.8274669769517
XGBoost,19.678240098610992,112.23339518862922
nn,100.43667635465094,317.19041870860065
