ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_quartz_Ruby,emb1_1,emb1_2,emb1_3,emb1_4,emb1_5,emb1_6,emb1_7,emb1_8,emb1_9,emb1_10,emb2_1,emb2_2,emb2_3,emb2_4,emb2_5,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_quartz_Ruby
1,7111111.111,46305555.56,11166666.67,98944444.44,1722222.222,1666666.667,83333.33333,83333.33333,6.25,26038075.93,26638959.25,525.0555556,30141.91667,11777777.78,1.0,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.5204824844127341,-0.5480405621342228,-0.5602611214002601,-0.5461658604175355,-0.4796121424826712,-0.5692160821016845,-0.47833631740610344,-0.3894085685998551,-1.4740809182327967,-0.5769714977053709,-0.3880939472879949,0.0,0.5805847488542568,-0.38819553097314974,1.750212605127178
1,12416666.67,73916666.67,17916666.67,165555555.6,1750000.0,2388888.889,83333.33333,83333.33333,9.152777778,38292887.64,26702311.21,525.0555556,30141.91667,11916666.67,0.750750751,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.45126819479425306,-0.47739835703337524,-0.4778844984302227,-0.4715937084086741,-0.47358253575907966,-0.48561591512364655,-0.47833631740610344,-0.3894085685998551,-0.8825995821251725,-0.49929654261266293,-0.38671440133334267,0.0,0.5805847488542568,-0.3816867594018593,-0.10496992346207447
1,21527777.78,120250000.0,29166666.67,277444444.4,2472222.222,3583333.333,138888.8889,111111.1111,22.0,58800006.71,26588580.17,525.0555556,30141.91667,11750000.0,0.799519808,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.332408053551559,-0.3588559042119685,-0.34059012681349365,-0.34633239571784735,-0.3168127622480951,-0.34735410051502674,-0.24688326055945267,-0.2027058302908295,1.735200589397333,-0.3693157978621534,-0.3891909971032349,0.0,0.5805847488542568,-0.3894972853811341,0.2580221531245771
1,34333333.33,185222222.2,44916666.67,434333333.3,2833333.333,5250000.0,138888.8889,111111.1111,19.0,87480035.36,26651083.21,525.0555556,30141.91667,12694444.44,0.714408233,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.16535157460097316,-0.19262640956305715,-0.14837800655007305,-0.17069289852570713,-0.23842787549260283,-0.15443063816007072,-0.24688326055945267,-0.2027058302908295,1.1239088736582608,-0.18753251223007023,-0.3878299371457299,0.0,0.5805847488542568,-0.3452376392587173,-0.3754702547932248
1,50722222.22,268611111.1,65166666.67,635722222.2,3055555.556,7444444.444,166666.6667,111111.1111,5.055555556,124326588.8,26606524.21,525.0555556,30141.91667,12750000.0,0.750187547,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,0.0484517282846854,0.020721578112531648,0.09875186236003919,0.054765025451468705,-0.19019102192093654,0.09958525383837197,-0.13115673207363493,-0.2027058302908295,-1.7174655827420509,0.0460128454221906,-0.3888002494800814,0.0,0.5805847488542568,-0.3426341304427485,-0.10916189685827736
1,15583333.33,99138888.89,23166666.67,211944444.4,3472222.222,3388888.889,166666.6667,194444.4444,11.29166667,53147028.29,53375364.1,525.0555556,30141.91667,23694444.44,0.666,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.4099570482247618,-0.412868052980559,-0.41381379167574917,-0.4196606418845852,-0.09974692193532701,-0.3698618377338238,-0.13115673207363493,0.35740238456903434,-0.4467712286031983,-0.40514620107881344,0.19411533483618712,0.0,0.5805847488542568,0.17025706506352423,-0.7357766888618692
1,31833333.33,175833333.3,39388888.89,392861111.1,3527777.778,4972222.222,166666.6667,222222.2222,15.02777778,81357435.72,53461721.04,525.0555556,30141.91667,23305555.56,0.714408233,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,-0.19796563775081166,-0.21664760207141143,-0.21583869781603016,-0.21712168201522236,-0.08768770848814399,-0.18658454857185572,-0.13115673207363493,0.5441051230796987,0.31451336160470494,-0.22633952643327987,0.19599583493804879,0.0,0.5805847488542568,0.15203250522626888,-0.3754702547932248
1,59111111.11,303944444.4,66388888.89,695000000.0,4527777.778,7555555.556,250000.0,222222.2222,9.555555556,128256375.0,53200544.01,525.0555556,30141.91667,24777777.78,0.636115657,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,0.1578900290908608,0.11112085860259534,0.11366779406411949,0.12112739923369134,0.12937813182462413,0.11244681809568921,0.2160228529672027,0.5441051230796987,-0.8005280091334424,0.07092109973342259,0.1903084700138291,0.0,0.5805847488542568,0.221025483225863,-0.9582082959154523
1,97388888.89,483472222.2,104250000.0,1118444444.0,5222222.222,11111111.11,250000.0,222222.2222,12.22222222,194015103.1,53270869.19,525.0555556,30141.91667,26027777.78,0.75,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,0.6572475737918226,0.5704373290670464,0.5757226792693291,0.5951798943110872,0.28011829861201715,0.5240168708572195,0.2160228529672027,0.5441051230796987,-0.257157595686526,0.4877211594155385,0.1918398641108576,0.0,0.5805847488542568,0.27960442689884496,-0.1105578245053426
1,146222222.2,713750000.0,152805555.6,1661611111.0,6750000.0,15805555.56,361111.1111,222222.2222,8.527777778,278576985.0,53176580.24,525.0555556,30141.91667,26277777.78,0.764560537,0.022291094,-0.30572546,0.09384415,0.032305274,0.26905745,0.13738795,-0.051057775,-0.029365052,0.041664895,0.08372256,-0.021513425,-0.038474403,-0.18024799,0.29846665,0.24567583,0.0,1.2943089403476031,1.1595961624333506,1.1682919676784977,1.2032632388506674,0.6117466658047609,1.0674179570247437,0.6789289664938579,0.5441051230796987,-1.0099520229041459,1.0237016815624085,0.18978663735132414,0.0,0.5805847488542568,0.29132021563344135,-0.0021825577486614526
