ARD,0.7425501600533199,0.8227970035528093
AdaBoost,0.009758417110188497,0.02530901412122468
ExtraTree,0.03284861459233029,0.08956876822916991
Bagging,0.0019139495465849276,0.0006270665319316097
SVR,0.08980164203676835,0.1506677279476624
Ridge,0.10217615854598465,0.32763239060663885
Lasso,0.03613631842317608,0.0685645617061741
ElasticNet,0.12199762751977575,0.3731119483958801
linear_regression,2222820040.056427,113264338.22433014
KNNregressor,0.003608864616560332,0.00627650130844736
DecisionTree,0.008558799312911853,0.014842375386196122
random_forrest,0.033801868597423235,0.17331828568638946
XGBoost,0.08277927785949034,0.1195662426982363
nn,0.12429916863261448,0.3748313017402956
