ARD,1.8972053051274909,2.731332253750286
AdaBoost,0.010934668619581353,0.035260001350827706
ExtraTree,0.020437322866958773,0.03944029271787422
Bagging,0.0014601159775283002,0.00037923753530909424
SVR,0.015278448075316831,0.03956568753331255
Ridge,0.03394496041981183,0.09574544434115853
Lasso,0.015539395982178577,0.04623672176039412
ElasticNet,0.06927630314921708,0.2501526140325568
linear_regression,163031.99172566258,30000249.74264766
KNNregressor,0.005624371729604736,0.006428401967184733
DecisionTree,0.006519489324120587,0.050037774507481335
random_forrest,0.05533605912594927,0.06568834570428178
XGBoost,0.10540021524100902,0.14618848457743236
nn,0.1613238409468992,1.1854993146062125
